corrected_name,path
Vote 07 : Finance,etl-scraped/2016/North West/NW - Finance.xlsm
Vote 04 : Economic Development and Tourism,"etl-scraped/2015/KwaZulu-Natal/KZN - Eco Dev, Tourism and Env Affairs.xlsx"
Vote 03 : Finance,etl-scraped/2015/Mpumalanga/MPU - Finance.xlsx
Vote 07 : Finance,etl-scraped/2015/North West/NW - Provincial Treasury.xlsx
Vote 06 : Tourism,etl-scraped/2015/North West/NW - Tourism.xlsx
"Vote 06 : Economic Development, Environment, Conservation",etl-scraped/2015/North West/NW - Economy and Enterprise Development.xlsx
Vote 13 : Agricultural and Rural Development,"etl-scraped/2015/North West/NW - Rural, Environ and Agric Development.xlsx"
Vote 13 : Finance,etl-scraped/2015/Gauteng/GT - Finance.xlsx
Vote 10 : The Royal Household,
