department_name,geographic_region,name,normalised_path,path,url,financial_year,sphere
Office of the Premier,Eastern Cape,Vote 01 : Office of the Premier,etl-data/normalised/2017/Eastern Cape/Vote 01 : Office of the Premier.xlsm,etl-data/2017/Eastern Cape/EC - Office of the Premier.xlsm,,2017,provincial
Office of the Premier,Eastern Cape,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 01 - Office of the Premier.pdf,2017,provincial
Provincial Legislature,Eastern Cape,Vote 02 : Provincial Legislature,etl-data/normalised/2017/Eastern Cape/Vote 02 : Provincial Legislature.xlsm,etl-data/2017/Eastern Cape/EC - Provincial Legislature.xlsm,,2017,provincial
Provincial Legislature,Eastern Cape,Vote 02 : Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 02 - Provincial Legislature.pdf,2017,provincial
Health,Eastern Cape,Vote 03 : Health,etl-data/normalised/2017/Eastern Cape/Vote 03 : Health.xlsm,etl-data/2017/Eastern Cape/EC - Health.xlsm,,2017,provincial
Health,Eastern Cape,Vote 03 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 03 - Health.pdf,2017,provincial
Social Development,Eastern Cape,Vote 04 : Social Development,etl-data/normalised/2017/Eastern Cape/Vote 04 : Social Development.xlsm,etl-data/2017/Eastern Cape/EC - Social Development.xlsm,,2017,provincial
Social Development,Eastern Cape,Vote 04 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 04 - Social Development.pdf,2017,provincial
Roads and Public Works,Eastern Cape,Vote 05 : Roads and Public Works,etl-data/normalised/2017/Eastern Cape/Vote 05 : Roads and Public Works.xlsm,etl-data/2017/Eastern Cape/EC - Roads and Public Works.xlsm,,2017,provincial
Roads and Public Works,Eastern Cape,Vote 05 : Roads and Public Works,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 05 - Road and Public works.pdf,2017,provincial
Education,Eastern Cape,Vote 06 : Education,etl-data/normalised/2017/Eastern Cape/Vote 06 : Education.xlsm,etl-data/2017/Eastern Cape/EC - Education.xlsm,,2017,provincial
Education,Eastern Cape,Vote 06 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 06 - Education.pdf,2017,provincial
Cooperative Governance and Traditional Affairs,Eastern Cape,Vote 07 : Cooperative Governance and Traditional Affairs,etl-data/normalised/2017/Eastern Cape/Vote 07 : Cooperative Governance and Traditional Affairs.xlsm,etl-data/2017/Eastern Cape/EC - CoGTA.xlsm,,2017,provincial
Cooperative Governance and Traditional Affairs,Eastern Cape,Vote 07 : Cooperative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 07 - Coop Gov and Traditional Affairs.pdf,2017,provincial
Rural Development and Agrarian Reform,Eastern Cape,Vote 08 : Rural Development and Agrarian Reform,etl-data/normalised/2017/Eastern Cape/Vote 08 : Rural Development and Agrarian Reform.xlsm,etl-data/2017/Eastern Cape/EC - Rural Dev. and Agrarian Reform.xlsm,,2017,provincial
Rural Development and Agrarian Reform,Eastern Cape,Vote 08 : Rural Development and Agrarian Reform,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 08 - Rural Development and Agrarian Reform.pdf,2017,provincial
"Economic Development, Environmental Affairs and Tourism",Eastern Cape,"Vote 09 : Economic Development, Environmental Affairs and Tourism","etl-data/normalised/2017/Eastern Cape/Vote 09 : Economic Development, Environmental Affairs and Tourism.xlsm","etl-data/2017/Eastern Cape/EC - Eco Dev, Environment and Tourism.xlsm",,2017,provincial
"Economic Development, Environmental Affairs and Tourism",Eastern Cape,"Vote 09 : Economic Development, Environmental Affairs and Tourism",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 09 - Eco Dev, Environ Affairs and Tourism.pdf",2017,provincial
Transport,Eastern Cape,Vote 10 : Transport,etl-data/normalised/2017/Eastern Cape/Vote 10 : Transport.xlsm,etl-data/2017/Eastern Cape/EC - Transport.xlsm,,2017,provincial
Transport,Eastern Cape,Vote 10 : Transport,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 10 - Transport.pdf,2017,provincial
Human Settlements,Eastern Cape,Vote 11 : Human Settlements,etl-data/normalised/2017/Eastern Cape/Vote 11 : Human Settlements.xlsm,etl-data/2017/Eastern Cape/EC - Human Settlements.xlsm,,2017,provincial
Human Settlements,Eastern Cape,Vote 11 : Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 11 - Human Settlements.pdf,2017,provincial
Provincial Treasury,Eastern Cape,Vote 12 : Provincial Treasury,etl-data/normalised/2017/Eastern Cape/Vote 12 : Provincial Treasury.xlsm,etl-data/2017/Eastern Cape/EC - Provincial Treasury.xlsm,,2017,provincial
Provincial Treasury,Eastern Cape,Vote 12 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 12 - Provincial Treasury.pdf,2017,provincial
"Sport, Art and Culture",Eastern Cape,"Vote 14 : Sport, Art and Culture","etl-data/normalised/2017/Eastern Cape/Vote 14 : Sport, Art and Culture.xlsm","etl-data/2017/Eastern Cape/EC - Sport, Rec, Arts and Culture.xlsm",,2017,provincial
"Sport, Art and Culture",Eastern Cape,"Vote 14 : Sport, Art and Culture",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 14 - Sport, Rec, Arts and Culture.pdf",2017,provincial
Safety and Liaison,Eastern Cape,Vote 15 : Safety and Liaison,etl-data/normalised/2017/Eastern Cape/Vote 15 : Safety and Liaison.xlsm,etl-data/2017/Eastern Cape/EC - Safety and Liason.xlsm,,2017,provincial
Safety and Liaison,Eastern Cape,Vote 15 : Safety and Liaison,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 15 - Safety and Liaison.pdf,2017,provincial
Office of the Premier,Free State,Vote 01 : Office of the Premier,etl-data/normalised/2017/Free State/Vote 01 : Office of the Premier.xlsm,etl-data/2017/Free State/FS - Premier.xlsm,,2017,provincial
Office of the Premier,Free State,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 01 - Office of the Premier.pdf,2017,provincial
Free State Legislature,Free State,Vote 02 : Free State Legislature,etl-data/normalised/2017/Free State/Vote 02 : Free State Legislature.xlsm,etl-data/2017/Free State/FS - Legislature.xlsm,,2017,provincial
Free State Legislature,Free State,Vote 02 : Free State Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 02 - Legislature.pdf,2017,provincial
"Department of Economic and Small Business Development, Tourism and Environmental Affairs",Free State,"Vote 03 : Department of Economic and Small Business Development, Tourism and Environmental Affairs","etl-data/normalised/2017/Free State/Vote 03 : Department of Economic and Small Business Development, Tourism and Environmental Affairs.xlsm","etl-data/2017/Free State/FS - Economic & small busin Dev, Tourism.xlsm",,2017,provincial
"Department of Economic and Small Business Development, Tourism and Environmental Affairs",Free State,"Vote 03 : Department of Economic and Small Business Development, Tourism and Environmental Affairs",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 03 - Economic Development, Tourism and Enviroment.pdf",2017,provincial
Provincial Treasury,Free State,Vote 04 : Provincial Treasury,etl-data/normalised/2017/Free State/Vote 04 : Provincial Treasury.xlsm,etl-data/2017/Free State/FS - Provincial Treasury.xlsm,,2017,provincial
Provincial Treasury,Free State,Vote 04 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 04 - Free State Provincial Treasury.pdf,2017,provincial
Health,Free State,Vote 05 : Health,etl-data/normalised/2017/Free State/Vote 05 : Health.xlsm,etl-data/2017/Free State/FS - Health.xlsm,,2017,provincial
Health,Free State,Vote 05 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 05 - Health.pdf,2017,provincial
Education,Free State,Vote 06 : Education,etl-data/normalised/2017/Free State/Vote 06 : Education.xlsm,etl-data/2017/Free State/FS - Education.xlsm,,2017,provincial
Education,Free State,Vote 06 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 06 - Education.pdf,2017,provincial
Social Development,Free State,Vote 07 : Social Development,etl-data/normalised/2017/Free State/Vote 07 : Social Development.xlsm,etl-data/2017/Free State/FS - Social Development.xlsm,,2017,provincial
Social Development,Free State,Vote 07 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 07 - Social Development.pdf,2017,provincial
Cooperative Governance and Traditional Affairs,Free State,Vote 08 : Cooperative Governance and Traditional Affairs,etl-data/normalised/2017/Free State/Vote 08 : Cooperative Governance and Traditional Affairs.xlsm,etl-data/2017/Free State/FS - COGTA.xlsm,,2017,provincial
Cooperative Governance and Traditional Affairs,Free State,Vote 08 : Cooperative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 08 - Cooperative governance and Traditional Affairs.pdf,2017,provincial
Public Works and Infrastructure,Free State,Vote 09 : Public Works and Infrastructure,etl-data/normalised/2017/Free State/Vote 09 : Public Works and Infrastructure.xlsm,etl-data/2017/Free State/FS - Public works and Infrast.xlsm,,2017,provincial
Public Works and Infrastructure,Free State,Vote 09 : Public Works and Infrastructure,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 09 - Public Works and Infrastructure.pdf,2017,provincial
"Police, Roads and Transport",Free State,"Vote 10 : Police, Roads and Transport","etl-data/normalised/2017/Free State/Vote 10 : Police, Roads and Transport.xlsm","etl-data/2017/Free State/FS - Police, Roads and Transp.xlsm",,2017,provincial
"Police, Roads and Transport",Free State,"Vote 10 : Police, Roads and Transport",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 10 - Police, Roads and Transport.pdf",2017,provincial
Agriculture and Rural Development,Free State,Vote 11 : Agriculture and Rural Development,etl-data/normalised/2017/Free State/Vote 11 : Agriculture and Rural Development.xlsm,etl-data/2017/Free State/FS - Agriculture and Rural Dev.xlsm,,2017,provincial
Agriculture and Rural Development,Free State,Vote 11 : Agriculture and Rural Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 11 - Agriculture and Rural Development.pdf,2017,provincial
"Sport, Arts, Culture and Recreation",Free State,"Vote 12 : Sport, Arts, Culture and Recreation","etl-data/normalised/2017/Free State/Vote 12 : Sport, Arts, Culture and Recreation.xlsm","etl-data/2017/Free State/FS - Sport, Art, Culture and Recrea.xlsm",,2017,provincial
"Sport, Arts, Culture and Recreation",Free State,"Vote 12 : Sport, Arts, Culture and Recreation",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 12 - Sport, Arts, Culture and Recreation.pdf",2017,provincial
Human Settlements,Free State,Vote 13 : Human Settlements,etl-data/normalised/2017/Free State/Vote 13 : Human Settlements.xlsm,etl-data/2017/Free State/FS - Human Settlement.xlsm,,2017,provincial
Human Settlements,Free State,Vote 13 : Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/FS - Vote 13 - Human Settlements.pdf,2017,provincial
Office of the Premier,Gauteng,Vote 01 : Office of the Premier,etl-data/normalised/2017/Gauteng/Vote 01 : Office of the Premier.xlsm,etl-data/2017/Gauteng/GT - Premier.xlsm,,2017,provincial
Office of the Premier,Gauteng,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 01 - Office of the Premier.pdf,2017,provincial
Provincial Legislature,Gauteng,Vote 02 : Provincial Legislature,etl-data/normalised/2017/Gauteng/Vote 02 : Provincial Legislature.xlsm,etl-data/2017/Gauteng/GT - Legislature.xlsm,,2017,provincial
Provincial Legislature,Gauteng,Vote 02 : Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 02 - Provincial Legislature.pdf,2017,provincial
Economic Development,Gauteng,Vote 03 : Economic Development,etl-data/normalised/2017/Gauteng/Vote 03 : Economic Development.xlsm,etl-data/2017/Gauteng/GT - Economic Development.xlsm,,2017,provincial
Economic Development,Gauteng,Vote 03 : Economic Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 03 - Economic Development.pdf,2017,provincial
Health,Gauteng,Vote 04 : Health,etl-data/normalised/2017/Gauteng/Vote 04 : Health.xlsm,etl-data/2017/Gauteng/GT - Health.xlsm,,2017,provincial
Health,Gauteng,Vote 04 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 04 - Health.pdf,2017,provincial
Education,Gauteng,Vote 05 : Education,etl-data/normalised/2017/Gauteng/Vote 05 : Education.xlsm,etl-data/2017/Gauteng/GT - Education.xlsm,,2017,provincial
Education,Gauteng,Vote 05 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 05 - Education.pdf,2017,provincial
Social Development,Gauteng,Vote 06 : Social Development,etl-data/normalised/2017/Gauteng/Vote 06 : Social Development.xlsm,etl-data/2017/Gauteng/GT - Social Development.xlsm,,2017,provincial
Social Development,Gauteng,Vote 06 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 06 - Social Development.pdf,2017,provincial
Cooperative Governance and Traditional Affairs,Gauteng,Vote 07 : Cooperative Governance and Traditional Affairs,etl-data/normalised/2017/Gauteng/Vote 07 : Cooperative Governance and Traditional Affairs.xlsm,etl-data/2017/Gauteng/GT - COGTA.xlsm,,2017,provincial
Cooperative Governance and Traditional Affairs,Gauteng,Vote 07 : Cooperative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 07 - Cooperative Governance and Trad Affairs.pdf,2017,provincial
Human Settlements,Gauteng,Vote 08 : Human Settlements,etl-data/normalised/2017/Gauteng/Vote 08 : Human Settlements.xlsm,etl-data/2017/Gauteng/GT - Human Settlement.xlsm,,2017,provincial
Human Settlements,Gauteng,Vote 08 : Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 08 - Human Settlements.pdf,2017,provincial
Roads and Trasport,Gauteng,Vote 09 : Roads and Trasport,etl-data/normalised/2017/Gauteng/Vote 09 : Roads and Trasport.xlsm,etl-data/2017/Gauteng/GT - Roads and Transport.xlsm,,2017,provincial
Roads and Trasport,Gauteng,Vote 09 : Roads and Trasport,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 09 - Roads and Transport.pdf,2017,provincial
Community Safety,Gauteng,Vote 10 : Community Safety,etl-data/normalised/2017/Gauteng/Vote 10 : Community Safety.xlsm,etl-data/2017/Gauteng/GT - Community Safety.xlsm,,2017,provincial
Community Safety,Gauteng,Vote 10 : Community Safety,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 10 - Community Safety.pdf,2017,provincial
Agriculture and Rural Development,Gauteng,Vote 11 : Agriculture and Rural Development,etl-data/normalised/2017/Gauteng/Vote 11 : Agriculture and Rural Development.xlsm,etl-data/2017/Gauteng/GT - Agriculture and Rural Dev.xlsm,,2017,provincial
Agriculture and Rural Development,Gauteng,Vote 11 : Agriculture and Rural Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 11 - Agriculture and Rural Development.pdf,2017,provincial
"Sport, Arts, Culture and Recreation",Gauteng,"Vote 12 : Sport, Arts, Culture and Recreation","etl-data/normalised/2017/Gauteng/Vote 12 : Sport, Arts, Culture and Recreation.xlsm","etl-data/2017/Gauteng/GT - Sport, Arts, Cult and Recreation.xlsm",,2017,provincial
"Sport, Arts, Culture and Recreation",Gauteng,"Vote 12 : Sport, Arts, Culture and Recreation",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 12 - Sport, Arts, Culture and Recreation.pdf",2017,provincial
E-Government,Gauteng,Vote 13 : E-Government,etl-data/normalised/2017/Gauteng/Vote 13 : E-Government.xlsm,etl-data/2017/Gauteng/GT - E-Government.xlsm,,2017,provincial
E-Government,Gauteng,Vote 13 : E-Government,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 13 - E-Government.pdf,2017,provincial
Gauteng Provincial Treasury,Gauteng,Vote 14 : Gauteng Provincial Treasury,etl-data/normalised/2017/Gauteng/Vote 14 : Gauteng Provincial Treasury.xlsm,etl-data/2017/Gauteng/GT - Provincial Treasury.xlsm,,2017,provincial
Gauteng Provincial Treasury,Gauteng,Vote 14 : Gauteng Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 14 - Gauteng Provincial Treasury.pdf,2017,provincial
Infrastructure Development,Gauteng,Vote 15 : Infrastructure Development,etl-data/normalised/2017/Gauteng/Vote 15 : Infrastructure Development.xlsm,etl-data/2017/Gauteng/GT - Infrastructure Development.xlsm,,2017,provincial
Infrastructure Development,Gauteng,Vote 15 : Infrastructure Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 15 - Infrastructure Development.pdf,2017,provincial
Office of the Premier,KwaZulu-Natal,Vote 01 : Office of the Premier,etl-data/normalised/2017/KwaZulu-Natal/Vote 01 : Office of the Premier.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Office of the Premier.xlsm,,2017,provincial
Office of the Premier,KwaZulu-Natal,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 01 - Premier.pdf,2017,provincial
Provincial Legislature,KwaZulu-Natal,Vote 02 : Provincial Legislature,etl-data/normalised/2017/KwaZulu-Natal/Vote 02 : Provincial Legislature.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Legislature.xlsm,,2017,provincial
Provincial Legislature,KwaZulu-Natal,Vote 02 : Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 02 - Legislature.pdf,2017,provincial
"Agriculture, Environmental Affairs and Rural Development",KwaZulu-Natal,"Vote 03 : Agriculture, Environmental Affairs and Rural Development","etl-data/normalised/2017/KwaZulu-Natal/Vote 03 : Agriculture, Environmental Affairs and Rural Development.xlsm",etl-data/2017/KwaZulu-Natal/KZN - Agriculture and Rural Dev.xlsm,,2017,provincial
"Agriculture, Environmental Affairs and Rural Development",KwaZulu-Natal,"Vote 03 : Agriculture, Environmental Affairs and Rural Development",,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 03 - Agriculture.pdf,2017,provincial
Economic Development and Tourism,KwaZulu-Natal,Vote 04 : Economic Development and Tourism,etl-data/normalised/2017/KwaZulu-Natal/Vote 04 : Economic Development and Tourism.xlsm,"etl-data/2017/KwaZulu-Natal/KZN - Eco Dev, Tou and Envir.xlsm",,2017,provincial
Economic Development and Tourism,KwaZulu-Natal,Vote 04 : Economic Development and Tourism,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 04 - Economic Development and Tourism.pdf,2017,provincial
Education,KwaZulu-Natal,Vote 05 : Education,etl-data/normalised/2017/KwaZulu-Natal/Vote 05 : Education.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Education.xlsm,,2017,provincial
Education,KwaZulu-Natal,Vote 05 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 05 - Education.pdf,2017,provincial
Provincial Treasury,KwaZulu-Natal,Vote 06 : Provincial Treasury,etl-data/normalised/2017/KwaZulu-Natal/Vote 06 : Provincial Treasury.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Treasury.xlsm,,2017,provincial
Provincial Treasury,KwaZulu-Natal,Vote 06 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 06 - Provincial Treasury.pdf,2017,provincial
Health,KwaZulu-Natal,Vote 07 : Health,etl-data/normalised/2017/KwaZulu-Natal/Vote 07 : Health.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Health.xlsm,,2017,provincial
Health,KwaZulu-Natal,Vote 07 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 07 - Health.pdf,2017,provincial
Human Settlements,KwaZulu-Natal,Vote 08 : Human Settlements,etl-data/normalised/2017/KwaZulu-Natal/Vote 08 : Human Settlements.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Human Settlements.xlsm,,2017,provincial
Human Settlements,KwaZulu-Natal,Vote 08 : Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 08 - Human Settlement.pdf,2017,provincial
Community Safety and Liaison,KwaZulu-Natal,Vote 09 : Community Safety and Liaison,etl-data/normalised/2017/KwaZulu-Natal/Vote 09 : Community Safety and Liaison.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Com Safety and Lia.xlsm,,2017,provincial
Community Safety and Liaison,KwaZulu-Natal,Vote 09 : Community Safety and Liaison,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 09 - Community Safety.pdf,2017,provincial
Sports and Recreation,KwaZulu-Natal,Vote 10 : Sports and Recreation,etl-data/normalised/2017/KwaZulu-Natal/Vote 10 : Sports and Recreation.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Sport and Recreation.xlsm,,2017,provincial
Sports and Recreation,KwaZulu-Natal,Vote 10 : Sports and Recreation,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 10 - Sports and Recreation.pdf,2017,provincial
